Data_Coleta;Titulo;Vencimento;Taxa_Compra(%);Taxa_Venda(%)
2025-06-04;Tesouro Educa+ 2026;15/12/2030;7.78;7.9
2025-06-04;Tesouro Educa+ 2027;15/12/2031;7.57;7.69
2025-06-04;Tesouro Educa+ 2028;15/12/2032;7.44;7.56
2025-06-04;Tesouro Educa+ 2029;15/12/2033;7.36;7.48
2025-06-04;Tesouro Educa+ 2030;15/12/2034;7.31;7.43
2025-06-04;Tesouro Educa+ 2031;15/12/2035;7.27;7.39
2025-06-04;Tesouro Educa+ 2032;15/12/2036;7.22;7.34
2025-06-04;Tesouro Educa+ 2033;15/12/2037;7.18;7.3
2025-06-04;Tesouro Educa+ 2034;15/12/2038;7.14;7.26
2025-06-04;Tesouro Educa+ 2035;15/12/2039;7.11;7.23
2025-06-04;Tesouro Educa+ 2036;15/12/2040;7.08;7.2
2025-06-04;Tesouro Educa+ 2037;15/12/2041;7.07;7.19
2025-06-04;Tesouro Educa+ 2038;15/12/2042;7.06;7.18
2025-06-04;Tesouro Educa+ 2039;15/12/2043;7.05;7.17
2025-06-04;Tesouro Educa+ 2040;15/12/2044;7.05;7.17
2025-06-04;Tesouro Educa+ 2041;15/12/2045;7.06;7.18
2025-06-04;Tesouro Educa+ 2042;15/12/2046;7.06;7.18
2025-06-04;Tesouro Educa+ 2043;15/12/2047;7.06;7.18
2025-06-04;Tesouro IGPM+ com Juros Semestrais 2031;01/01/2031;;7.61
2025-06-04;Tesouro IPCA+ 2026;15/08/2026;;9.53
2025-06-04;Tesouro IPCA+ 2029;15/05/2029;7.47;7.59
2025-06-04;Tesouro IPCA+ 2035;15/05/2035;;7.3
2025-06-04;Tesouro IPCA+ 2040;15/08/2040;7.04;7.16
2025-06-04;Tesouro IPCA+ 2045;15/05/2045;;7.19
2025-06-04;Tesouro IPCA+ 2050;15/08/2050;6.98;7.1
2025-06-04;Tesouro IPCA+ com Juros Semestrais 2026;15/08/2026;;9.53
2025-06-04;Tesouro IPCA+ com Juros Semestrais 2030;15/08/2030;;7.58
2025-06-04;Tesouro IPCA+ com Juros Semestrais 2032;15/08/2032;;7.52
2025-06-04;Tesouro IPCA+ com Juros Semestrais 2035;15/05/2035;7.26;7.38
