Date,Rate
2015-04-01,0.95
2015-05-01,0.99
2015-06-01,1.07
2015-07-01,1.18
2015-08-01,1.11
2015-09-01,1.11
2015-10-01,1.11
2015-11-01,1.06
2015-12-01,1.16
2016-01-01,1.06
2016-02-01,1.0
2016-03-01,1.16
2016-04-01,1.06
2016-05-01,1.11
2016-06-01,1.16
2016-07-01,1.11
2016-08-01,1.22
2016-09-01,1.11
2016-10-01,1.05
2016-11-01,1.04
2016-12-01,1.12
2017-01-01,1.09
2017-02-01,0.87
2017-03-01,1.05
2017-04-01,0.79
2017-05-01,0.93
2017-06-01,0.81
2017-07-01,0.8
2017-08-01,0.8
2017-09-01,0.64
2017-10-01,0.64
2017-11-01,0.57
2017-12-01,0.54
2018-01-01,0.58
2018-02-01,0.47
2018-03-01,0.53
2018-04-01,0.52
2018-05-01,0.52
2018-06-01,0.52
2018-07-01,0.54
2018-08-01,0.57
2018-09-01,0.47
2018-10-01,0.54
2018-11-01,0.49
2018-12-01,0.49
2019-01-01,0.54
2019-02-01,0.49
2019-03-01,0.47
2019-04-01,0.52
2019-05-01,0.54
2019-06-01,0.47
2019-07-01,0.57
2019-08-01,0.5
2019-09-01,0.46
2019-10-01,0.48
2019-11-01,0.38
2019-12-01,0.37
2020-01-01,0.38
2020-02-01,0.29
2020-03-01,0.34
2020-04-01,0.28
2020-05-01,0.24
2020-06-01,0.21
2020-07-01,0.19
2020-08-01,0.16
2020-09-01,0.16
2020-10-01,0.16
2020-11-01,0.15
2020-12-01,0.16
2021-01-01,0.15
2021-02-01,0.13
2021-03-01,0.2
2021-04-01,0.21
2021-05-01,0.27
2021-06-01,0.31
2021-07-01,0.36
2021-08-01,0.43
2021-09-01,0.44
2021-10-01,0.49
2021-11-01,0.59
2021-12-01,0.77
2022-01-01,0.73
2022-02-01,0.76
2022-03-01,0.93
2022-04-01,0.83
2022-05-01,1.03
2022-06-01,1.02
2022-07-01,1.03
2022-08-01,1.17
2022-09-01,1.07
2022-10-01,1.02
2022-11-01,1.02
2022-12-01,1.12
2023-01-01,1.12
2023-02-01,0.92
2023-03-01,1.17
2023-04-01,0.92
2023-05-01,1.12
2023-06-01,1.07
2023-07-01,1.07
2023-08-01,1.14
2023-09-01,0.97
2023-10-01,1.0
2023-11-01,0.92
2023-12-01,0.89
2024-01-01,0.97
2024-02-01,0.8
2024-03-01,0.83
2024-04-01,0.89
2024-05-01,0.83
2024-06-01,0.79
2024-07-01,0.91
2024-08-01,0.87
2024-09-01,0.84
2024-10-01,0.93
2024-11-01,0.79
2024-12-01,0.93
2025-01-01,1.01
2025-02-01,0.99
2025-03-01,0.96
2025-04-01,0.9
2025-05-01,0.05
