Dataset,Janela,ROC_AUC,Accuracy,F1_Score
criptos.csv,3m,0.8713345864661654,0.7679558011049724,0.75
criptos.csv,6m,0.9511887876978202,0.9051172707889126,0.8860435339308579
criptos.csv,9m,0.9605450236966825,0.9352708058124174,0.9260935143288085
criptos.csv,1a,0.9669186522255628,0.9301435406698565,0.9197802197802197
criptos.csv,2a,0.9448941258156323,0.8793714032757858,0.8601488324352066
criptos.csv,3a,0.914712259569991,0.8383751080380294,0.8129376458819606
moedas.csv,3m,0.5823529411764705,0.48148148148148145,0.5333333333333333
moedas.csv,6m,0.5393939393939394,0.5384615384615384,0.6
moedas.csv,9m,0.5594684385382059,0.5,0.5185185185185185
moedas.csv,1a,0.5264136904761905,0.5096153846153846,0.5486725663716814
moedas.csv,2a,0.5668560606060606,0.5388349514563107,0.5887445887445888
moedas.csv,3a,0.5957651991614256,0.5760517799352751,0.5498281786941581
bdrs.csv,3m,0.8615652437178323,0.8002894356005789,0.77
bdrs.csv,6m,0.9457012557740714,0.9036697247706422,0.891832229580574
bdrs.csv,9m,0.9437901744719925,0.9112571898110107,0.9099249374478732
bdrs.csv,1a,0.9380277442702051,0.8964391691394659,0.8982803847274847
bdrs.csv,2a,0.9003845393720006,0.8210082812727009,0.8270148834597023
bdrs.csv,3a,0.8668456590236246,0.7829688854638281,0.78532634587899
juros.csv,3m,0.5308641975308641,0.5238095238095238,0.4642857142857143
juros.csv,6m,0.7028340080971659,0.6557377049180327,0.5531914893617021
juros.csv,9m,0.780324074074074,0.7150537634408602,0.6826347305389222
juros.csv,1a,0.6977621649752798,0.6290322580645161,0.5533980582524272
juros.csv,2a,0.741829260281172,0.6902834008097166,0.6666666666666666
juros.csv,3a,0.6972753623188406,0.6460296096904441,0.640218878248974
acoes_ibov.csv,3m,0.8201739263686166,0.7780473013947847,0.7601572739187418
acoes_ibov.csv,6m,0.8885221570733938,0.8367968966472707,0.8283299329641504
acoes_ibov.csv,9m,0.8750081402538297,0.8095487018644363,0.7934227934227934
acoes_ibov.csv,1a,0.8686678908245936,0.7941028225806451,0.7836907598623246
acoes_ibov.csv,2a,0.7861246019565132,0.7100410463762789,0.6847398920935189
acoes_ibov.csv,3a,0.7515745372468423,0.6806045135934524,0.6576032662989185
commodities.csv,3m,0.8620210442723844,0.7816901408450704,0.7559055118110236
commodities.csv,6m,0.9436420395421437,0.9161290322580645,0.912751677852349
commodities.csv,9m,0.9789654939563779,0.9322381930184805,0.9336016096579477
commodities.csv,1a,0.9099065838787269,0.842809364548495,0.8562691131498471
commodities.csv,2a,0.8971151529751867,0.8152645273200347,0.8177929854576561
commodities.csv,3a,0.8950596072931276,0.8432432432432433,0.8450854700854701
